timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1629641202.70004010,42328895,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1629641202.79999995,42428855,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1629641202.89996004,42528815,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1629641202.99991989,42628775,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1629641203.09987998,42728735,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1629641203.19984007,42828695,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1629641203.29979992,42928655,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1629641203.39976001,43028615,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641203.49972010,43128575,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641203.59967995,43228535,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641203.69964004,43328495,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641203.79960012,43428455,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641203.89955997,43528415,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641203.99952006,43628375,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.09947991,43728335,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.19944000,43828295,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.29940009,43928255,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.39935994,44028215,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.49932003,44128175,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.60011292,44228968,0.0,0.09,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.70007300,44328928,0.0,0.09,0.0,0.08,352.87,352.88,0.0,0.0
1629641204.80003309,44428888,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1629641204.89999294,44528848,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1629641204.99995303,44628808,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1629641205.09991312,44728768,-0.01,0.09,-0.01,0.07,352.87,352.88,0.0,0.0
1629641205.19987297,44828728,-0.06,0.09,-0.06,0.07,352.87,352.88,0.0,0.0
1629641205.29983306,44928688,-0.05,0.09,-0.05,0.07,352.87,352.88,0.0,0.0
1629641205.39979291,45028648,-0.1,0.09,-0.11,0.07,352.87,352.88,0.0,0.0
1629641205.49975300,45128608,-0.16,0.09,-0.16,0.07,352.87,352.88,0.0,0.0
1629641205.59971309,45228568,-0.2,0.09,-0.2,0.07,352.87,352.88,0.0,0.0
1629641205.69967294,45328528,-0.22,0.09,-0.21,0.07,352.87,352.88,0.0,0.0
1629641205.79963303,45428488,-0.23,0.09,-0.22,0.07,352.87,352.88,0.0,0.0
1629641205.89959311,45528448,-0.25,0.09,-0.23,0.07,352.87,352.88,0.0,0.0
1629641205.99955297,45628408,-0.26,0.08,-0.25,0.07,352.87,352.88,0.0,0.0
1629641206.09951305,45728368,-0.28,0.08,-0.27,0.07,352.87,352.88,0.0,0.0
1629641206.19947290,45828328,-0.3,0.08,-0.29,0.07,352.87,352.88,0.0,0.0
1629641206.29943299,45928288,-0.33,0.08,-0.3,0.07,352.87,352.88,0.0,0.0
1629641206.39939308,46028248,-0.37,0.08,-0.3,0.07,352.87,352.88,0.0,0.0
1629641206.49935293,46128208,-0.37,0.08,-0.29,0.07,352.87,352.88,0.0,0.0
1629641206.59931302,46228168,-0.39,0.08,-0.29,0.07,352.87,352.88,0.0,0.0
1629641206.70010591,46328961,-0.42,0.04,-0.33,0.03,352.87,352.88,0.0,0.0
1629641206.80006599,46428921,-0.43,-0.19,-0.37,-0.18,352.87,352.88,0.0,0.0
1629641206.90002608,46528881,-0.39,-0.47,-0.36,-0.43,352.87,352.88,0.0,0.0
1629641206.99998593,46628841,-0.27,-0.6,-0.29,-0.57,352.87,352.88,0.0,0.0
1629641207.09994602,46728801,-0.1,-0.58,-0.17,-0.58,352.87,352.88,0.0,0.0
1629641207.19990611,46828761,0.04,-0.45,-0.03,-0.47,352.87,352.88,0.0,0.0
1629641207.29986596,46928721,0.19,-0.26,0.12,-0.29,352.87,352.88,0.0,0.0
1629641207.39982605,47028681,0.34,-0.04,0.27,-0.08,352.87,352.87,0.0,0.0
1629641207.49978590,47128641,0.42,0.12,0.35,0.09,352.87,352.87,0.0,0.0
1629641207.59974599,47228601,0.45,0.22,0.37,0.19,352.87,352.87,0.0,0.0
1629641207.69970608,47328561,0.44,0.26,0.38,0.23,352.87,352.87,0.0,0.0
1629641207.79966593,47428521,0.45,0.26,0.33,0.22,352.87,352.87,0.0,0.0
1629641207.89962602,47528481,0.48,0.28,0.28,0.16,352.87,352.87,0.0,0.0
