timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1630625131.00000000,88828621,0.0,0.16,0.0,0.14,353.06,353.07,0.0,0.0
1630625131.09996009,88928581,0.0,0.16,0.0,0.14,353.06,353.07,0.0,0.0
1630625131.19992018,89028541,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.29988003,89128501,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.39984012,89228461,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.49980021,89328421,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.59976006,89428381,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.69972014,89528341,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.79967999,89628301,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.89964008,89728261,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625131.99960017,89828221,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625132.09956002,89928181,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625132.20035315,90028974,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625132.30031300,90128934,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625132.40027308,90228894,0.0,0.16,0.0,0.14,353.07,353.08,0.0,0.0
1630625132.50023317,90328854,0.0,0.16,0.0,0.15,353.07,353.08,0.0,0.0
1630625132.60019302,90428814,0.0,0.16,0.0,0.15,353.07,353.08,0.0,0.0
1630625132.70015311,90528774,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625132.80011320,90628734,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625132.90007305,90728694,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.00003314,90828654,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.09999299,90928614,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.19995308,91028574,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.29991317,91128534,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.39987302,91228494,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.49983311,91328454,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.59979320,91428414,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.69975305,91528374,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.79971313,91628334,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.89967299,91728294,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625133.99963307,91828254,0.0,0.16,0.0,0.15,353.08,353.09,0.0,0.0
1630625134.09959316,91928214,-0.06,0.16,-0.06,0.15,353.09,353.1,0.0,0.0
1630625134.19955301,92028174,-0.22,0.16,-0.22,0.15,353.09,353.1,0.0,0.0
1630625134.30034614,92128967,-0.31,0.16,-0.31,0.15,353.09,353.1,0.0,0.0
1630625134.40030599,92228927,-0.37,0.16,-0.37,0.15,353.09,353.1,0.0,0.0
1630625134.50026608,92328887,-0.41,0.16,-0.42,0.15,353.09,353.1,0.0,0.0
1630625134.60022616,92428847,-0.46,0.16,-0.46,0.15,353.09,353.1,0.0,0.0
1630625134.70018601,92528807,-0.49,0.16,-0.49,0.15,353.09,353.1,0.0,0.0
1630625134.80014610,92628767,-0.52,0.16,-0.51,0.15,353.09,353.1,0.0,0.0
1630625134.90010619,92728727,-0.55,0.16,-0.54,0.15,353.09,353.1,0.0,0.0
1630625135.00006604,92828687,-0.58,0.16,-0.59,0.15,353.09,353.1,0.0,0.0
1630625135.10002613,92928647,-0.58,0.16,-0.61,0.15,353.09,353.1,0.0,0.0
1630625135.19998598,93028607,-0.6,0.16,-0.63,0.15,353.09,353.1,0.0,0.0
1630625135.29994607,93128567,-0.65,0.16,-0.67,0.15,353.09,353.1,0.0,0.0
1630625135.39990616,93228527,-0.69,0.16,-0.7,0.15,353.09,353.1,0.0,0.0
1630625135.49986601,93328487,-0.72,0.16,-0.75,0.15,353.09,353.1,0.0,0.0
1630625135.59982610,93428447,-0.74,0.17,-0.8,0.15,353.09,353.11,0.0,0.0
1630625135.69978619,93528407,-0.77,0.02,-0.81,0.01,353.09,353.11,0.0,0.0
1630625135.79974604,93628367,-0.85,-0.52,-0.81,-0.49,353.09,353.11,0.0,0.0
1630625135.89970613,93728327,-0.82,-1.07,-0.73,-0.99,353.09,353.11,0.0,0.0
1630625135.99966598,93828287,-0.61,-1.33,-0.54,-1.24,353.09,353.11,0.0,0.0
1630625136.09962606,93928247,-0.26,-1.24,-0.25,-1.19,353.09,353.1,0.0,0.0
1630625136.19958615,94028207,0.12,-0.89,0.1,-0.9,353.09,353.1,0.0,0.0
1630625136.29954600,94128167,0.48,-0.42,0.45,-0.47,353.09,353.09,0.0,0.0
1630625136.40033913,94228960,0.75,0.01,0.71,-0.03,353.09,353.08,0.0,0.0
1630625136.50029898,94328920,0.91,0.36,0.84,0.29,353.09,353.08,0.0,0.01
1630625136.60025907,94428880,0.93,0.54,0.87,0.46,353.09,353.08,0.0,0.01
1630625136.70021915,94528840,0.87,0.56,0.83,0.51,353.09,353.08,0.0,0.0
1630625136.80017900,94628800,0.79,0.49,0.77,0.46,353.09,353.08,0.0,0.0
1630625136.90013909,94728760,0.76,0.42,0.69,0.37,353.09,353.07,0.0,0.0
1630625137.00009918,94828720,0.77,0.38,0.65,0.3,353.09,353.07,0.0,0.0
1630625137.10005903,94928680,0.78,0.4,0.64,0.27,353.09,353.07,0.0,0.0
1630625137.20001912,95028640,0.79,0.44,0.66,0.3,353.09,353.08,0.0,0.0
1630625137.29997897,95128600,0.78,0.48,0.68,0.35,353.09,353.08,0.0,0.0
1630625137.39993906,95228560,0.76,0.49,0.67,0.38,352.54,352.54,0.0,0.0
1630625137.49989915,95328520,0.75,0.5,0.66,0.41,352.54,352.54,0.0,0.0
1630625137.59985900,95428480,0.74,0.52,0.64,0.43,352.54,352.54,0.0,0.0
1630625137.69981909,95528440,0.69,0.52,0.64,0.44,352.54,352.55,0.0,0.0
1630625137.79977918,95628400,0.61,0.47,0.63,0.45,352.54,352.56,0.0,0.0
1630625137.89973903,95728360,0.55,0.41,0.61,0.46,352.54,352.56,0.0,0.0
1630625137.99969912,95828320,0.49,0.35,0.58,0.45,352.54,352.57,0.0,0.0
1630625138.09965920,95928280,0.45,0.31,0.51,0.42,352.54,352.57,0.0,0.0
1630625138.19961905,96028240,0.43,0.29,0.43,0.35,352.54,352.57,0.0,0.0
1630625138.29957914,96128200,0.42,0.31,0.37,0.28,352.54,352.57,0.0,0.0
1630625138.39953899,96228160,0.37,0.3,0.35,0.24,352.54,352.57,0.0,0.0
1630625138.50033212,96328953,0.35,0.27,0.34,0.22,352.54,352.57,0.0,0.0
1630625138.60029221,96428913,0.33,0.26,0.33,0.22,352.54,352.56,0.0,0.0
1630625138.70025206,96528873,0.32,0.23,0.34,0.25,352.54,352.56,0.0,0.0
1630625138.80021214,96628833,0.31,0.22,0.3,0.24,352.54,352.55,0.0,0.0
1630625138.90017200,96728793,0.28,0.21,0.25,0.2,352.54,352.55,0.0,0.0
1630625139.00013208,96828753,0.24,0.18,0.2,0.15,352.54,352.55,0.0,0.0
1630625139.10009217,96928713,0.19,0.15,0.19,0.13,352.54,352.55,0.0,0.0
1630625139.20005202,97028673,0.14,0.09,0.17,0.11,352.54,352.55,0.0,0.0
1630625139.30001211,97128633,0.1,0.04,0.16,0.1,352.54,352.55,0.0,0.0
1630625139.39997220,97228593,0.1,0.02,0.15,0.09,352.54,352.55,0.0,0.0
1630625139.49993205,97328553,0.11,0.04,0.16,0.11,352.54,352.55,0.0,0.0
1630625139.59989214,97428513,0.1,0.05,0.18,0.13,352.54,352.55,0.0,0.0
