timestamp,timeus,DesR,R,DesP,P,DesY,Y,ErrRP,ErrYaw
1617991956.90004,42928655,0,0.1,0,0.08,352.88,352.89,0,0
1617991957,43028615,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.09996,43128575,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.19992,43228535,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.29988,43328495,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.39984,43428455,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.4998,43528415,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.59976,43628375,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.69972,43728335,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.79968,43828295,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.89964,43928255,0,0.1,0,0.08,352.87,352.88,0,0
1617991957.9996,44028215,0,0.1,0,0.08,352.87,352.88,0,0
1617991958.09956,44128175,0,0.1,0,0.08,352.87,352.88,0,0
1617991958.20035,44228968,0,0.09,0,0.08,352.87,352.88,0,0
1617991958.30031,44328928,0,0.09,0,0.08,352.87,352.88,0,0
1617991958.40027,44428888,0,0.09,0,0.07,352.87,352.88,0,0
1617991958.50023,44528848,0,0.09,0,0.07,352.87,352.88,0,0
1617991958.60019,44628808,0,0.09,0,0.07,352.87,352.88,0,0
1617991958.70015,44728768,0,0.09,0,0.07,352.87,352.88,0,0
1617991958.80011,44828728,0,0.09,0,0.07,352.87,352.88,0,0
1617991958.90007,44928688,0,0.09,0,0.07,352.87,352.88,0,0
1617991959.00003,45028648,0,0.09,0,0.07,352.87,352.88,0,0
1617991959.09999,45128608,0,0.09,0,0.07,352.87,352.88,0,0
1617991959.19995,45228568,0,0.09,0,0.07,352.87,352.88,0,0
1617991959.29991,45328528,0,0.09,0,0.07,352.87,352.88,0,0
1617991959.39987,45428488,0,0.09,0,0.07,352.87,352.88,0,0
1617991959.49983,45528448,0,0.09,0,0.07,352.87,352.88,0,0
1617991959.59979,45628408,0,0.08,0,0.07,352.87,352.88,0,0
1617991959.69975,45728368,0,0.08,0,0.07,352.87,352.88,0,0
1617991959.79971,45828328,0,0.08,0,0.07,352.87,352.88,0,0
1617991959.89967,45928288,0,0.08,0,0.07,352.87,352.88,0,0
1617991959.99963,46028248,0,0.08,0,0.07,352.87,352.88,0,0
1617991960.09959,46128208,0,0.08,0,0.07,352.87,352.88,0,0
1617991960.19955,46228168,-0.08,0.08,-0.08,0.07,352.87,352.88,0,0
1617991960.30035,46328961,-0.05,0.08,-0.06,0.07,352.87,352.88,0,0
1617991960.40031,46428921,-0.09,0.08,-0.1,0.07,352.87,352.88,0,0
