timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1630619428.59999990,45628408,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619428.69995999,45728368,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619428.79991984,45828328,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619428.89987993,45928288,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619428.99984002,46028248,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619429.09979987,46128208,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619429.19975996,46228168,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619429.30055285,46328961,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619429.40051293,46428921,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619429.50047302,46528881,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619429.60043287,46628841,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630619429.70039296,46728801,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619429.80035305,46828761,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619429.90031290,46928721,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.00027299,47028681,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.10023284,47128641,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.20019293,47228601,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.30015302,47328561,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.40011287,47428521,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.50007296,47528481,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.60003304,47628441,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.69999290,47728401,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.79995298,47828361,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.89991283,47928321,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619430.99987292,48028281,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630619431.09983301,48128241,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630619431.19979286,48228201,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630619431.29975295,48328161,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630619431.40054584,48428954,-0.03,0.08,-0.03,0.06,352.88,352.89,0.0,0.0
1630619431.50050592,48528914,-0.06,0.08,-0.06,0.06,352.88,352.89,0.0,0.0
1630619431.60046601,48628874,-0.05,0.08,-0.06,0.06,352.88,352.89,0.0,0.0
1630619431.70042586,48728834,-0.11,0.08,-0.11,0.07,352.88,352.89,0.0,0.0
1630619431.80038595,48828794,-0.17,0.08,-0.17,0.07,352.88,352.89,0.0,0.0
1630619431.90034604,48928754,-0.21,0.08,-0.22,0.07,352.88,352.89,0.0,0.0
1630619432.00030589,49028714,-0.24,0.08,-0.25,0.07,352.88,352.89,0.0,0.0
1630619432.10026598,49128674,-0.27,0.08,-0.27,0.07,352.88,352.89,0.0,0.0
1630619432.20022607,49228634,-0.29,0.08,-0.28,0.07,352.88,352.89,0.0,0.0
1630619432.30018592,49328594,-0.32,0.08,-0.3,0.07,352.88,352.89,0.0,0.0
1630619432.40014601,49428554,-0.36,0.08,-0.33,0.07,352.88,352.89,0.0,0.0
1630619432.50010586,49528514,-0.38,0.08,-0.36,0.07,352.88,352.89,0.0,0.0
1630619432.60006595,49628474,-0.39,0.08,-0.38,0.07,352.88,352.89,0.0,0.0
1630619432.70002604,49728434,-0.42,0.08,-0.38,0.07,352.88,352.89,0.0,0.0
1630619432.79998589,49828394,-0.45,0.08,-0.37,0.07,352.88,352.89,0.0,0.0
1630619432.89994597,49928354,-0.44,0.08,-0.41,0.07,352.88,352.89,0.0,0.0
1630619432.99990606,50028314,-0.43,0.03,-0.46,0.01,352.88,352.89,0.0,0.0
1630619433.09986591,50128274,-0.43,-0.22,-0.5,-0.26,352.88,352.89,0.0,0.0
1630619433.19982600,50228234,-0.42,-0.52,-0.47,-0.56,352.88,352.89,0.0,0.0
1630619433.29978585,50328194,-0.33,-0.69,-0.38,-0.71,352.88,352.89,0.0,0.0
1630619433.39974594,50428154,-0.19,-0.7,-0.25,-0.72,352.88,352.89,0.0,0.0
1630619433.50053906,50528947,0.01,-0.54,-0.09,-0.6,352.88,352.89,0.0,0.0
