timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1630623973.40000010,42628775,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630623973.49996018,42728735,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1630623973.59992027,42828695,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630623973.69988012,42928655,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630623973.79984021,43028615,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623973.89980030,43128575,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623973.99976015,43228535,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.09972024,43328495,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.19968033,43428455,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.29964018,43528415,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.39960027,43628375,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.49956012,43728335,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.59952021,43828295,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.69948030,43928255,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.79944015,44028215,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623974.89940023,44128175,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630623975.00019312,44228968,0.0,0.09,0.0,0.08,352.87,352.88,0.0,0.0
1630623975.10015321,44328928,0.0,0.09,0.0,0.08,352.87,352.88,0.0,0.0
1630623975.20011330,44428888,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.30007315,44528848,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.40003324,44628808,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.49999332,44728768,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.59995317,44828728,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.69991326,44928688,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.79987311,45028648,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.89983320,45128608,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623975.99979329,45228568,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.09975314,45328528,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.19971323,45428488,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.29967332,45528448,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.39963317,45628408,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.49959326,45728368,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.59955311,45828328,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.69951320,45928288,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.79947329,46028248,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.89943314,46128208,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623976.99939322,46228168,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623977.10018611,46328961,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623977.20014620,46428921,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623977.30010629,46528881,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623977.40006614,46628841,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630623977.50002623,46728801,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623977.59998631,46828761,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623977.69994617,46928721,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623977.79990625,47028681,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623977.89986610,47128641,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623977.99982619,47228601,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.09978628,47328561,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.19974613,47428521,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.29970622,47528481,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.39966631,47628441,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.49962616,47728401,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.59958625,47828361,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.69954610,47928321,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.79950619,48028281,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630623978.89946628,48128241,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630623978.99942613,48228201,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630623979.09938622,48328161,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630623979.20017910,48428954,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
