timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw
1630877435.40000010,39828229,0.0,0.08,0.0,0.06,352.9,352.91,0.0,0.0
1630877435.49996018,39928189,0.0,0.08,0.0,0.06,352.89,352.9,0.0,0.0
1630877435.60075307,40028982,0.0,0.08,0.0,0.06,352.89,352.9,0.0,0.0
1630877435.70071316,40128942,0.0,0.08,0.0,0.06,352.89,352.9,0.0,0.0
1630877435.80067325,40228902,0.0,0.08,0.0,0.06,352.89,352.9,0.0,0.0
1630877435.90063310,40328862,0.0,0.08,0.0,0.06,352.89,352.9,0.0,0.0
1630877436.00059319,40428822,0.0,0.08,0.0,0.06,352.89,352.9,0.0,0.0
1630877436.10055304,40528782,0.0,0.08,0.0,0.07,352.89,352.9,0.0,0.0
1630877436.20051312,40628742,0.0,0.09,0.0,0.07,352.89,352.9,0.0,0.0
1630877436.30047321,40728702,0.0,0.09,0.0,0.07,352.89,352.9,0.0,0.0
1630877436.40043306,40828662,0.0,0.09,0.0,0.07,352.89,352.9,0.0,0.0
1630877436.50039315,40928622,0.0,0.09,0.0,0.07,352.89,352.9,0.0,0.0
1630877436.60035324,41028582,0.0,0.09,0.0,0.07,352.89,352.9,0.0,0.0
1630877436.70031309,41128542,0.0,0.09,0.0,0.08,352.89,352.9,0.0,0.0
1630877436.80027318,41228502,0.0,0.09,0.0,0.08,352.89,352.9,0.0,0.0
1630877436.90023303,41328462,0.0,0.1,0.0,0.08,352.89,352.9,0.0,0.0
1630877437.00019312,41428422,0.0,0.1,0.0,0.08,352.89,352.9,0.0,0.0
1630877437.10015321,41528382,0.0,0.1,0.0,0.08,352.89,352.9,0.0,0.0
1630877437.20011306,41628342,0.0,0.1,0.0,0.08,352.89,352.9,0.0,0.0
1630877437.30007315,41728302,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877437.40003324,41828262,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877437.49999309,41928222,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877437.59995317,42028182,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877437.70074606,42128975,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877437.80070615,42228935,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877437.90066624,42328895,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1630877438.00062609,42428855,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1630877438.10058618,42528815,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1630877438.20054603,42628775,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877438.30050611,42728735,0.0,0.1,0.0,0.09,352.88,352.89,0.0,0.0
1630877438.40046620,42828695,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877438.50042605,42928655,0.0,0.1,0.0,0.08,352.88,352.89,0.0,0.0
1630877438.60038614,43028615,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877438.70034623,43128575,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877438.80030608,43228535,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877438.90026617,43328495,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.00022626,43428455,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.10018611,43528415,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.20014620,43628375,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.30010605,43728335,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.40006614,43828295,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.50002623,43928255,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.59998608,44028215,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.69994617,44128175,0.0,0.1,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.80073905,44228968,0.0,0.09,0.0,0.08,352.87,352.88,0.0,0.0
1630877439.90069914,44328928,0.0,0.09,0.0,0.08,352.87,352.88,0.0,0.0
1630877440.00065923,44428888,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.10061908,44528848,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.20057917,44628808,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.30053926,44728768,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.40049911,44828728,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.50045919,44928688,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.60041904,45028648,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.70037913,45128608,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.80033922,45228568,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877440.90029907,45328528,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.00025916,45428488,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.10021925,45528448,0.0,0.09,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.20017910,45628408,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.30013919,45728368,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.40009904,45828328,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.50005913,45928288,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.60001922,46028248,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.69997907,46128208,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.79993916,46228168,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877441.90073204,46328961,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877442.00069213,46428921,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877442.10065222,46528881,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877442.20061207,46628841,0.0,0.08,0.0,0.07,352.87,352.88,0.0,0.0
1630877442.30057216,46728801,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877442.40053225,46828761,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877442.50049210,46928721,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877442.60045218,47028681,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877442.70041203,47128641,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877442.80037212,47228601,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877442.90033221,47328561,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.00029206,47428521,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.10025215,47528481,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.20021224,47628441,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.30017209,47728401,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.40013218,47828361,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.50009203,47928321,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.60005212,48028281,0.0,0.08,0.0,0.06,352.87,352.88,0.0,0.0
1630877443.70001221,48128241,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630877443.79997206,48228201,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630877443.89993215,48328161,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630877444.00072503,48428954,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630877444.10068512,48528914,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630877444.20064521,48628874,0.0,0.08,0.0,0.06,352.88,352.89,0.0,0.0
1630877444.30060506,48728834,0.0,0.08,0.0,0.07,352.88,352.89,0.0,0.0
1630877444.40056515,48828794,-0.07,0.08,-0.07,0.07,352.88,352.89,0.0,0.0
1630877444.50052524,48928754,-0.03,0.08,-0.04,0.07,352.88,352.89,0.0,0.0
1630877444.60048509,49028714,-0.07,0.08,-0.08,0.07,352.88,352.89,0.0,0.0
